owner,repo,full_name,input_language,input_license_family,input_spdx,input_stars,api_status,api_html_url,api_license_spdx,api_license_name,api_license_key,api_license_family,api_stars,api_archived,api_disabled,api_created_at,api_updated_at,api_pushed_at,api_default_branch,api_latest_commit_sha
Tencent-Hunyuan,HunyuanVideo-I2V,Tencent-Hunyuan/HunyuanVideo-I2V,Python,other,,,ok,https://github.com/Tencent-Hunyuan/HunyuanVideo-I2V,NOASSERTION,Other,other,Unknown,1649,False,False,2025-03-04T12:02:05Z,2025-08-26T11:28:29Z,2025-05-20T11:44:59Z,main,1481c1d5ae88e9905f54f2a3c6a1b68ef2a10528
threat9,routersploit,threat9/routersploit,Python,other,,,ok,https://github.com/threat9/routersploit,NOASSERTION,Other,other,Unknown,12720,False,False,2016-03-30T11:43:12Z,2025-08-27T12:58:39Z,2025-06-10T08:33:42Z,master,0bf837f67ed2131077c4192c21909104aab9f13d
twisted,klein,twisted/klein,Python,other,,,ok,https://github.com/twisted/klein,NOASSERTION,Other,other,Unknown,840,False,False,2012-02-10T17:55:04Z,2025-08-12T08:41:59Z,2025-08-26T17:26:05Z,trunk,b3a310e1dca1bcb4b21ba29727c92de1f98c6ada
NanmiCoder,MediaCrawler,NanmiCoder/MediaCrawler,Python,other,,,ok,https://github.com/NanmiCoder/MediaCrawler,NOASSERTION,Other,other,Unknown,36328,False,False,2023-06-09T12:14:34Z,2025-08-27T15:12:10Z,2025-08-18T11:15:50Z,main,ce52c58b983b3c96371b9f59767bbdf094737d21
yadayada,acd_cli,yadayada/acd_cli,Python,other,,,ok,https://github.com/yadayada/acd_cli,NOASSERTION,Other,other,Unknown,1343,False,False,2015-04-06T13:42:55Z,2025-08-13T01:15:50Z,2019-08-09T12:58:03Z,master,cd4a9eea52f1740aa8de10d8c75ab2f6c17de52b
eset,ipyida,eset/ipyida,Python,other,,,ok,https://github.com/eset/ipyida,NOASSERTION,Other,other,Unknown,793,False,False,2016-05-30T20:09:42Z,2025-08-27T09:27:58Z,2025-08-13T01:21:41Z,master,046177884480b6ddde3ad5159690105b302dc303
facebook,facebook-python-business-sdk,facebook/facebook-python-business-sdk,Python,other,,,ok,https://github.com/facebook/facebook-python-business-sdk,NOASSERTION,Other,other,Unknown,1420,False,False,2014-08-29T09:15:47Z,2025-08-27T06:15:10Z,2025-07-18T19:26:49Z,main,0d1044a716cdfc250447fa29860050e7f84aa989
vyperlang,vyper,vyperlang/vyper,Python,other,,,ok,https://github.com/vyperlang/vyper,NOASSERTION,Other,other,Unknown,5078,False,False,2016-11-11T08:56:41Z,2025-08-26T18:15:43Z,2025-08-11T13:31:03Z,master,90c952c06ac31ad8ce3ffda5f67545b2ec5f91a8
VITA-MLLM,VITA-Audio,VITA-MLLM/VITA-Audio,Python,other,,,ok,https://github.com/VITA-MLLM/VITA-Audio,NOASSERTION,Other,other,Unknown,633,False,False,2025-04-23T11:22:25Z,2025-08-25T06:06:10Z,2025-05-24T02:09:49Z,main,0abaf17e333e8239952a183cd0d5e3777b9a9784
bigscience-workshop,Megatron-DeepSpeed,bigscience-workshop/Megatron-DeepSpeed,Python,other,,,ok,https://github.com/bigscience-workshop/Megatron-DeepSpeed,NOASSERTION,Other,other,Unknown,1412,False,False,2021-07-02T17:40:35Z,2025-08-26T03:58:49Z,2024-03-20T16:10:21Z,main,8387ae17c4704f6579f88a84500b535d19d7fbbf
GoodStartLabs,AI_Diplomacy,GoodStartLabs/AI_Diplomacy,Python,other,,,ok,https://github.com/GoodStartLabs/AI_Diplomacy,NOASSERTION,Other,other,Unknown,564,False,False,2025-02-06T22:33:23Z,2025-08-27T00:51:36Z,2025-08-22T18:20:27Z,main,4e4aa6e946d76fa41585e8c77fcaf6ba93eada6c
carmen-ruby,carmen,carmen-ruby/carmen,Ruby,other,,,ok,https://github.com/carmen-ruby/carmen,NOASSERTION,Other,other,Unknown,1172,False,False,2009-03-17T19:18:42Z,2025-08-20T13:18:58Z,2022-01-31T18:44:57Z,master,fc444d85437aeab864dd81d514e04a362212d1bf
gschup,bevy_ggrs,gschup/bevy_ggrs,Rust,other,,,ok,https://github.com/gschup/bevy_ggrs,NOASSERTION,Other,other,Unknown,334,False,False,2021-08-11T13:45:56Z,2025-08-19T03:22:00Z,2025-06-12T07:24:57Z,main,c5a7b37232fd078c4d5adf86e7f0619255567a24
katharostech,arsenal,katharostech/arsenal,Rust,other,,,ok,https://github.com/katharostech/arsenal,NOASSERTION,Other,other,Unknown,275,False,False,2019-06-03T23:52:39Z,2025-07-04T08:53:07Z,2023-01-18T18:02:23Z,master,85e03f230f3dff7120162381b46354d9fe7ad81f
wezterm,wezterm,wezterm/wezterm,Rust,other,,,ok,https://github.com/wezterm/wezterm,NOASSERTION,Other,other,Unknown,21578,False,False,2018-02-07T05:35:46Z,2025-08-27T12:15:42Z,2025-08-22T17:37:14Z,main,6a493f88fab06a792308e0c704790390fd3c6232
streamnative,pulsar-rs,streamnative/pulsar-rs,Rust,other,,,ok,https://github.com/streamnative/pulsar-rs,NOASSERTION,Other,other,Unknown,395,False,False,2018-10-29T16:00:00Z,2025-08-27T03:39:09Z,2025-08-27T03:39:05Z,master,561edf19f8437b1f71049fc5593d996f860c06f2
bytesnake,telebot,bytesnake/telebot,Rust,other,,,ok,https://github.com/bytesnake/telebot,NOASSERTION,Other,other,Unknown,214,False,False,2016-12-31T11:01:46Z,2025-08-27T12:11:06Z,2022-02-02T16:52:22Z,master,d7f41872c74b4624c5329fb6df2196e03acb6a4c
danielhenrymantilla,polonius-the-crab.rs,danielhenrymantilla/polonius-the-crab.rs,Rust,other,,,ok,https://github.com/danielhenrymantilla/polonius-the-crab.rs,NOASSERTION,Other,other,Unknown,112,False,False,2022-04-27T22:22:41Z,2025-08-08T06:26:23Z,2024-11-08T12:08:36Z,master,f571a1d5981b4b3f8095eaa24f178201084eb1a1
rustls,hyper-rustls,rustls/hyper-rustls,Rust,other,,,ok,https://github.com/rustls/hyper-rustls,NOASSERTION,Other,other,Unknown,345,False,False,2016-10-02T16:48:40Z,2025-08-25T18:24:31Z,2025-08-25T18:24:28Z,main,5e9b69b4128abfc147e8b6fa55977eac4c3f575c
ihciah,rust2go,ihciah/rust2go,Rust,other,,,ok,https://github.com/ihciah/rust2go,NOASSERTION,Other,other,Unknown,330,False,False,2024-04-07T17:11:20Z,2025-08-27T13:47:48Z,2025-08-27T13:47:44Z,master,0e390b7e49b1bb43dfa1d2604f7fec747f066ff2
bodoni,svg,bodoni/svg,Rust,other,,,ok,https://github.com/bodoni/svg,NOASSERTION,Other,other,Unknown,323,False,False,2015-02-08T12:19:39Z,2025-08-12T19:47:04Z,2025-01-09T16:54:29Z,main,d58e91878b98f061b280caa0ab95bb460f2e422e
mikeferguson,ros2_cookbook,mikeferguson/ros2_cookbook,Shell,other,,,ok,https://github.com/mikeferguson/ros2_cookbook,NOASSERTION,Other,other,Unknown,1085,False,False,2020-08-17T12:12:14Z,2025-08-27T07:32:14Z,2025-06-05T03:58:06Z,main,05f5c9417973900fe631abcd883b37186e828c13
justjake,quickjs-emscripten,justjake/quickjs-emscripten,TypeScript,other,,,ok,https://github.com/justjake/quickjs-emscripten,NOASSERTION,Other,other,Unknown,1485,False,False,2020-01-05T16:09:48Z,2025-08-26T05:39:05Z,2025-06-22T22:20:42Z,main,aa48b619983f02c5691d989c0771a3421178ce4b
withastro,prettier-plugin-astro,withastro/prettier-plugin-astro,TypeScript,other,,,ok,https://github.com/withastro/prettier-plugin-astro,NOASSERTION,Other,other,Unknown,551,False,False,2021-07-07T19:55:30Z,2025-08-25T19:42:31Z,2025-06-12T09:26:52Z,main,49456dae569594e8d00142cb7782ebc83ae0dcbb
MiguelsPizza,WebMCP,MiguelsPizza/WebMCP,TypeScript,other,,,ok,https://github.com/MiguelsPizza/WebMCP,NOASSERTION,Other,other,Unknown,830,False,False,2025-06-13T06:00:40Z,2025-08-27T07:15:10Z,2025-08-27T07:15:07Z,main,1da78645775d561c2dcf2f53d729b9562f176e55
fiduswriter,simple-datatables,fiduswriter/simple-datatables,TypeScript,other,,,ok,https://github.com/fiduswriter/simple-datatables,NOASSERTION,Other,other,Unknown,1552,False,False,2018-08-17T16:43:52Z,2025-08-26T12:52:45Z,2025-03-04T15:04:40Z,main,e070774d1e07647ea335d53bba20cd520b76826a
LukeGus,Termix,LukeGus/Termix,TypeScript,other,,,ok,https://github.com/LukeGus/Termix,NOASSERTION,Other,other,Unknown,1221,False,False,2024-11-25T02:46:36Z,2025-08-27T12:29:56Z,2025-08-26T22:15:20Z,main,5fbac89e67ad1f262bdc111ddf591a18c29c4453
arminbiere,kissat,arminbiere/kissat,C,permissive,,,ok,https://github.com/arminbiere/kissat,MIT,MIT License,mit,Permissive,563,False,False,2020-05-27T07:57:59Z,2025-08-25T13:25:33Z,2025-06-28T15:37:09Z,master,77bc7ea68afe80751a67df8561357f193e160fb1
siu,minunit,siu/minunit,C,permissive,,,ok,https://github.com/siu/minunit,MIT,MIT License,mit,Permissive,604,False,False,2012-06-25T15:17:12Z,2025-08-23T02:48:12Z,2023-10-27T06:25:41Z,master,a0586569bd8abfb7a37390d670484c201e9173bf
yeyupiaoling,Whisper-Finetune,yeyupiaoling/Whisper-Finetune,C,permissive,,,ok,https://github.com/yeyupiaoling/Whisper-Finetune,Apache-2.0,Apache License 2.0,apache-2.0,Permissive,1117,False,False,2023-04-22T04:45:58Z,2025-08-27T15:16:57Z,2025-06-10T13:17:07Z,master,5f5632b22ac74f4ebd03e75f85d168c196bf533a
flutter,codelabs,flutter/codelabs,C,permissive,,,ok,https://github.com/flutter/codelabs,BSD-3-Clause,"BSD 3-Clause ""New"" or ""Revised"" License",bsd-3-clause,Permissive,2043,False,False,2018-07-30T19:15:27Z,2025-08-27T02:06:53Z,2025-08-22T08:42:16Z,main,dcda86a815bc4e80ff4324c7df87924ccb5fd92b
cowtoolz,webcamize,cowtoolz/webcamize,C,permissive,,,ok,https://github.com/cowtoolz/webcamize,BSD-2-Clause,"BSD 2-Clause ""Simplified"" License",bsd-2-clause,Permissive,1250,False,False,2023-08-07T14:15:45Z,2025-08-27T12:34:53Z,2025-06-10T09:19:01Z,master,e3173b3c1e120ffc19dde0dc1da73ea5589c504f
dirtyjtag,DirtyJTAG,dirtyjtag/DirtyJTAG,C,permissive,,,ok,https://github.com/dirtyjtag/DirtyJTAG,MIT,MIT License,mit,Permissive,553,False,False,2017-10-18T11:39:05Z,2025-08-27T13:09:12Z,2024-11-21T21:04:36Z,master,aa04b99ecdafe3f498f59a940143ed017ce3db67
memononen,nanosvg,memononen/nanosvg,C,permissive,,,ok,https://github.com/memononen/nanosvg,Zlib,zlib License,zlib,Permissive,1847,False,False,2013-10-05T15:04:21Z,2025-08-26T21:26:50Z,2024-12-19T20:14:31Z,master,ea6a6aca009422bba0dbad4c80df6e6ba0c82183
REDMED-X,OperatorsKit,REDMED-X/OperatorsKit,C,permissive,,,ok,https://github.com/REDMED-X/OperatorsKit,MIT,MIT License,mit,Permissive,642,False,False,2023-02-06T07:34:02Z,2025-08-23T01:19:42Z,2025-08-15T07:33:09Z,main,c1666d4b06b9190177022513f95582db731a840e
cloudwu,coroutine,cloudwu/coroutine,C,permissive,,,ok,https://github.com/cloudwu/coroutine,MIT,MIT License,mit,Permissive,2507,False,False,2012-07-23T13:17:21Z,2025-08-26T09:34:04Z,2022-12-16T09:23:01Z,master,a6263031e6ee3d3e10e613f0c0c3af886465170e
MarilynDafa,Bulllord-Engine,MarilynDafa/Bulllord-Engine,C,permissive,,,ok,https://github.com/MarilynDafa/Bulllord-Engine,MIT,MIT License,mit,Permissive,567,False,False,2017-01-23T13:58:29Z,2025-08-15T13:54:02Z,2020-12-17T10:12:31Z,master,ae05f36285b32352d4cec2ffea501ff0e5dc4a67
denandz,fuzzotron,denandz/fuzzotron,C,permissive,,,ok,https://github.com/denandz/fuzzotron,BSD-3-Clause,"BSD 3-Clause ""New"" or ""Revised"" License",bsd-3-clause,Permissive,521,False,False,2017-10-09T08:21:26Z,2025-08-26T07:41:04Z,2024-06-02T11:35:37Z,master,b2cb5c02c45f236dac38fc971279c26ad4904923
weston-embedded,uC-OS3,weston-embedded/uC-OS3,C,permissive,,,ok,https://github.com/weston-embedded/uC-OS3,Apache-2.0,Apache License 2.0,apache-2.0,Permissive,989,False,False,2020-02-28T23:10:33Z,2025-08-24T10:26:39Z,2024-05-16T07:26:14Z,develop,2fa9aeb4778b3c4cf015ac6567102b80b9c3d77b
dbrizov,NaughtyAttributes,dbrizov/NaughtyAttributes,C#,permissive,,,ok,https://github.com/dbrizov/NaughtyAttributes,MIT,MIT License,mit,Permissive,4935,False,False,2017-10-16T13:54:46Z,2025-08-25T10:42:24Z,2023-11-21T11:38:42Z,master,a97aa9b3b416e4c9122ea1be1a1b93b1169b0cd3
the1812,Malware-Patch,the1812/Malware-Patch,C#,permissive,,,ok,https://github.com/the1812/Malware-Patch,MIT,MIT License,mit,Permissive,4469,False,False,2018-05-16T02:46:04Z,2025-08-27T12:16:46Z,2024-12-21T04:44:26Z,master,9e624a948f9c1571bdece95dedea8175ffb4c85c
EgorBo,Disasmo,EgorBo/Disasmo,C#,permissive,,,ok,https://github.com/EgorBo/Disasmo,MIT,MIT License,mit,Permissive,696,False,False,2019-01-28T22:12:08Z,2025-08-27T02:50:59Z,2025-07-20T23:08:14Z,main,8413111edb395814c85c43086a1180bf9b5afd40
Azure,azure-functions-durable-extension,Azure/azure-functions-durable-extension,C#,permissive,,,ok,https://github.com/Azure/azure-functions-durable-extension,MIT,MIT License,mit,Permissive,741,False,False,2017-06-02T17:51:30Z,2025-08-26T13:25:17Z,2025-08-25T17:04:02Z,dev,27083a24538bac73871da06fc1498678a8899b27
lecaillon,Evolve,lecaillon/Evolve,C#,permissive,,,ok,https://github.com/lecaillon/Evolve,MIT,MIT License,mit,Permissive,878,False,False,2016-12-01T18:18:59Z,2025-08-26T10:56:35Z,2024-04-17T09:21:36Z,master,25e7488d993e98f59d855621b42dedfd161febbe
isadorasophia,murder,isadorasophia/murder,C#,permissive,,,ok,https://github.com/isadorasophia/murder,MIT,MIT License,mit,Permissive,2974,False,False,2022-10-23T07:26:28Z,2025-08-27T14:20:19Z,2025-08-25T22:42:07Z,main,37cfb3e4004a30a6f54b88e79ce3b4efb4d1e478
Handlebars-Net,Handlebars.Net,Handlebars-Net/Handlebars.Net,C#,permissive,,,ok,https://github.com/Handlebars-Net/Handlebars.Net,MIT,MIT License,mit,Permissive,1385,False,False,2014-05-03T18:05:46Z,2025-08-26T23:55:04Z,2024-04-03T23:04:43Z,master,9cf16727d3acc2efa6ab180e8f8a90c2e2b301ee
wangkanai,wangkanai,wangkanai/wangkanai,C#,permissive,,,ok,https://github.com/wangkanai/wangkanai,Apache-2.0,Apache License 2.0,apache-2.0,Permissive,591,False,False,2016-08-27T10:37:34Z,2025-08-02T11:11:49Z,2025-07-30T10:12:30Z,main,700106aa2ce2eeb2049c71e854e96fa6aad8c10c
NuGet,NuGetGallery,NuGet/NuGetGallery,C#,permissive,,,ok,https://github.com/NuGet/NuGetGallery,Apache-2.0,Apache License 2.0,apache-2.0,Permissive,1594,False,False,2011-08-09T17:57:32Z,2025-08-26T19:49:16Z,2025-08-26T19:49:12Z,main,770e2483f40974b981c149fb3741199031aea7d3
atifaziz,NCrontab,atifaziz/NCrontab,C#,permissive,,,ok,https://github.com/atifaziz/NCrontab,Apache-2.0,Apache License 2.0,apache-2.0,Permissive,955,False,False,2015-08-19T15:57:20Z,2025-08-27T10:04:16Z,2024-08-03T16:58:18Z,master,64e19855c8c18b61ba5cb325f224925ed58d6403
Real-Serious-Games,Unity-Weld,Real-Serious-Games/Unity-Weld,C#,permissive,,,ok,https://github.com/Real-Serious-Games/Unity-Weld,MIT,MIT License,mit,Permissive,509,False,False,2016-08-30T04:38:08Z,2025-08-21T12:08:42Z,2022-06-23T13:06:29Z,master,d93b1a69d7dec043f00517cdbdf914b17346cd93
rds1983,Myra,rds1983/Myra,C#,permissive,,,ok,https://github.com/rds1983/Myra,MIT,MIT License,mit,Permissive,805,False,False,2016-08-22T01:49:08Z,2025-08-20T01:02:10Z,2025-05-09T12:28:41Z,master,0f5911ccabe6dfd58473466297f108a340da08d9
omar,ByteSize,omar/ByteSize,C#,permissive,,,ok,https://github.com/omar/ByteSize,MIT,MIT License,mit,Permissive,597,False,False,2013-11-07T04:53:07Z,2025-08-11T21:51:34Z,2024-09-26T01:04:14Z,master,309301d76477a9b8cc393001628aabcdfa2075bc
NewLifeX,NewLife.Redis,NewLifeX/NewLife.Redis,C#,permissive,,,ok,https://github.com/NewLifeX/NewLife.Redis,MIT,MIT License,mit,Permissive,867,False,False,2018-08-29T16:13:43Z,2025-08-23T17:44:15Z,2025-08-20T18:30:07Z,master,1dff692ca459063919a79568441220b92de7d0ec
IRCSS,Compute-Shaders-Fluid-Dynamic-,IRCSS/Compute-Shaders-Fluid-Dynamic-,C#,permissive,,,ok,https://github.com/IRCSS/Compute-Shaders-Fluid-Dynamic-,MIT,MIT License,mit,Permissive,597,False,False,2020-10-04T16:24:36Z,2025-08-12T11:41:24Z,2022-03-01T12:33:39Z,main,03765e79d48ba7c2900532e1b9b140f5746b7ad6
frhagn,Typewriter,frhagn/Typewriter,C#,permissive,,,ok,https://github.com/frhagn/Typewriter,Apache-2.0,Apache License 2.0,apache-2.0,Permissive,537,False,False,2015-01-04T18:38:33Z,2025-07-10T16:46:50Z,2022-03-05T15:18:54Z,master,24af8778fc59e65471fcdcb591316b06c46e1020
tzapu,WiFiManager,tzapu/WiFiManager,C++,permissive,,,ok,https://github.com/tzapu/WiFiManager,MIT,MIT License,mit,Permissive,6938,False,False,2015-06-03T14:46:20Z,2025-08-27T12:08:30Z,2025-03-29T00:32:57Z,master,32655b722601ce8bf3c03974bac06a96ceed42e2
acidanthera,AirportBrcmFixup,acidanthera/AirportBrcmFixup,C++,permissive,,,ok,https://github.com/acidanthera/AirportBrcmFixup,BSD-3-Clause,"BSD 3-Clause ""New"" or ""Revised"" License",bsd-3-clause,Permissive,700,False,False,2018-03-04T12:29:41Z,2025-08-21T09:33:16Z,2025-07-13T15:56:50Z,master,06f6e5486f356eb3c499bcb9c71c17eda61fb11a
TheRealMJP,BakingLab,TheRealMJP/BakingLab,C++,permissive,,,ok,https://github.com/TheRealMJP/BakingLab,MIT,MIT License,mit,Permissive,730,False,False,2016-10-10T06:12:50Z,2025-08-25T16:35:39Z,2024-05-10T04:13:10Z,master,c3868af50d72afc13cdfe513a1e0c6a4fafdac8c
mitsuba-renderer,drjit,mitsuba-renderer/drjit,C++,permissive,,,ok,https://github.com/mitsuba-renderer/drjit,BSD-3-Clause,"BSD 3-Clause ""New"" or ""Revised"" License",bsd-3-clause,Permissive,695,False,False,2020-05-06T20:07:50Z,2025-08-27T09:11:53Z,2025-08-25T15:23:23Z,master,b07811cd31b1b90ca60682e77a6cc1b3019441d5
Chuyu-Team,YY-Thunks,Chuyu-Team/YY-Thunks,C++,permissive,,,ok,https://github.com/Chuyu-Team/YY-Thunks,MIT,MIT License,mit,Permissive,812,False,False,2018-05-17T09:00:05Z,2025-08-22T11:25:19Z,2025-07-20T06:24:27Z,master,757f09336f74ec7d50b6f4f367bf86c4ab6be4ff
AdaptiveCpp,AdaptiveCpp,AdaptiveCpp/AdaptiveCpp,C++,permissive,,,ok,https://github.com/AdaptiveCpp/AdaptiveCpp,BSD-2-Clause,"BSD 2-Clause ""Simplified"" License",bsd-2-clause,Permissive,1685,False,False,2018-07-15T00:12:40Z,2025-08-25T18:52:26Z,2025-08-27T11:56:16Z,develop,65e010622e37b25d75b70d41776ebb2685b2e4a8
d99kris,rapidcsv,d99kris/rapidcsv,C++,permissive,,,ok,https://github.com/d99kris/rapidcsv,BSD-3-Clause,"BSD 3-Clause ""New"" or ""Revised"" License",bsd-3-clause,Permissive,980,False,False,2017-05-19T15:26:33Z,2025-08-27T12:12:49Z,2025-08-16T12:35:19Z,master,8b70667db5d1472fd834f1b0261ee34050c292bf
tevador,RandomX,tevador/RandomX,C++,permissive,,,ok,https://github.com/tevador/RandomX,BSD-3-Clause,"BSD 3-Clause ""New"" or ""Revised"" License",bsd-3-clause,Permissive,1528,False,False,2018-10-31T23:34:52Z,2025-08-26T11:13:02Z,2025-07-02T17:16:21Z,master,10494476d6236b177733224123747201dec180bb
Ubpa,RenderLab,Ubpa/RenderLab,C++,permissive,,,ok,https://github.com/Ubpa/RenderLab,MIT,MIT License,mit,Permissive,788,False,False,2019-01-23T13:05:22Z,2025-08-26T19:54:40Z,2022-03-04T01:03:40Z,master,e530cb3854e2f5d1a087e15e62b5471d8871d1c6
Spuckwaffel,UEDumper,Spuckwaffel/UEDumper,C++,permissive,,,ok,https://github.com/Spuckwaffel/UEDumper,MIT,MIT License,mit,Permissive,1116,False,False,2023-06-04T00:28:12Z,2025-08-26T03:44:05Z,2025-08-15T21:38:18Z,master,db2b29f2c7d065a3a2da0a39631606d5e53764df
tranek,GASDocumentation,tranek/GASDocumentation,C++,permissive,,,ok,https://github.com/tranek/GASDocumentation,MIT,MIT License,mit,Permissive,5265,False,False,2019-08-10T23:11:26Z,2025-08-27T14:18:11Z,2024-04-06T07:07:59Z,master,8f76c5780bdea69e0ea2cc161ab2f435f04182eb
stereolabs,zed-sdk,stereolabs/zed-sdk,C++,permissive,,,ok,https://github.com/stereolabs/zed-sdk,MIT,MIT License,mit,Permissive,974,False,False,2017-04-05T10:02:44Z,2025-08-26T03:55:49Z,2025-07-29T09:15:46Z,master,43e634d5b9801d0fd12634743348f72baab6c4a9
mp3guy,ICPCUDA,mp3guy/ICPCUDA,C++,permissive,,,ok,https://github.com/mp3guy/ICPCUDA,BSD-3-Clause,"BSD 3-Clause ""New"" or ""Revised"" License",bsd-3-clause,Permissive,715,False,False,2015-03-23T14:17:21Z,2025-08-19T05:22:07Z,2021-10-06T11:14:47Z,master,4d507c59e35afe04fe4c76853d37cba54da2c4b6
mapbox,tippecanoe,mapbox/tippecanoe,C++,permissive,,,ok,https://github.com/mapbox/tippecanoe,BSD-2-Clause,"BSD 2-Clause ""Simplified"" License",bsd-2-clause,Permissive,2905,False,False,2014-09-26T22:16:45Z,2025-08-25T08:29:56Z,2024-04-02T11:11:21Z,master,2daf84a6c10d22fcd4151fa9fcff9bea5407293a
leggedrobotics,open3d_slam,leggedrobotics/open3d_slam,C++,permissive,,,ok,https://github.com/leggedrobotics/open3d_slam,BSD-3-Clause,"BSD 3-Clause ""New"" or ""Revised"" License",bsd-3-clause,Permissive,567,False,False,2022-01-19T17:42:25Z,2025-08-26T09:57:03Z,2025-01-12T22:35:41Z,master,6c019ab1e65f13d37f951e4f3ce9117bb9fef158
NoelFB,blah,NoelFB/blah,C++,permissive,,,ok,https://github.com/NoelFB/blah,MIT,MIT License,mit,Permissive,598,False,False,2020-08-26T07:03:50Z,2025-08-18T23:19:42Z,2023-04-27T17:30:37Z,master,da6ef79aa2220e23b8d40b86eb5cfc2c6f7b0218
AllAlgorithms,cpp,AllAlgorithms/cpp,C++,permissive,,,ok,https://github.com/AllAlgorithms/cpp,MIT,MIT License,mit,Permissive,800,False,False,2018-09-18T05:00:54Z,2025-08-25T16:43:49Z,2024-10-14T22:55:21Z,master,4b7276f9d68e74a45ab528df46d172ad284fc98a
3Shain,dxmt,3Shain/dxmt,C++,permissive,,,ok,https://github.com/3Shain/dxmt,MIT,MIT License,mit,Permissive,836,False,False,2023-11-09T00:00:08Z,2025-08-26T14:10:28Z,2025-08-26T06:58:32Z,main,c9946f19e5b927a23d0ce979018d86364949a28f
yunweneric,flutter-open-ui,yunweneric/flutter-open-ui,C++,permissive,,,ok,https://github.com/yunweneric/flutter-open-ui,MIT,MIT License,mit,Permissive,511,False,False,2022-03-31T18:44:30Z,2025-08-17T09:08:22Z,2025-03-20T20:34:33Z,main,c7f8012ea8dc9658866f5064e433ca4145861678
bitpoke,wordpress-operator,bitpoke/wordpress-operator,Go,permissive,,,ok,https://github.com/bitpoke/wordpress-operator,Apache-2.0,Apache License 2.0,apache-2.0,Permissive,234,False,False,2018-04-25T12:18:35Z,2025-08-10T17:32:05Z,2024-08-01T05:13:59Z,master,9b763fd90a3995cfcbc9d1df83c9f964a1e3c703
mackerelio,mackerel-agent-plugins,mackerelio/mackerel-agent-plugins,Go,permissive,,,ok,https://github.com/mackerelio/mackerel-agent-plugins,Apache-2.0,Apache License 2.0,apache-2.0,Permissive,250,False,False,2014-08-22T10:03:01Z,2025-08-01T05:13:15Z,2025-08-24T16:18:22Z,master,e8dc602cc975412c4a5cb705c521b1e7e0ead071
erbbysam,DNSGrep,erbbysam/DNSGrep,Go,permissive,,,ok,https://github.com/erbbysam/DNSGrep,MIT,MIT License,mit,Permissive,583,False,False,2019-02-09T17:12:46Z,2025-08-20T15:30:46Z,2020-12-21T02:27:33Z,master,3f4fa7cdd68655c32b7da48c6fd24a745147c841
x-motemen,gore,x-motemen/gore,Go,permissive,,,ok,https://github.com/x-motemen/gore,MIT,MIT License,mit,Permissive,5404,False,False,2015-02-11T13:45:04Z,2025-08-27T13:19:36Z,2025-06-21T12:19:43Z,main,c1d7e435f8dc5d85fc5647e945212936856708f1
sysdiglabs,kube-psp-advisor,sysdiglabs/kube-psp-advisor,Go,permissive,,,ok,https://github.com/sysdiglabs/kube-psp-advisor,Apache-2.0,Apache License 2.0,apache-2.0,Permissive,331,False,False,2019-02-03T18:18:17Z,2025-08-04T19:39:01Z,2023-10-11T21:18:59Z,master,91276ba33936008c02a8c6948a2c136ef3ec32de
hoisie,mustache,hoisie/mustache,Go,permissive,,,ok,https://github.com/hoisie/mustache,MIT,MIT License,mit,Permissive,1113,False,False,2009-12-30T21:05:05Z,2025-08-15T01:27:38Z,2024-04-28T16:34:44Z,master,6375acf62c69d9d3ad20fd0599d82ca94ea12284
vrecan,death,vrecan/death,Go,permissive,,,ok,https://github.com/vrecan/death,MIT,MIT License,mit,Permissive,198,False,False,2015-03-09T03:50:40Z,2025-06-24T06:05:16Z,2024-12-16T22:08:32Z,master,88275e7df60ec5822c84ba932dc0b5aa8c1afae4
n10v,id3v2,n10v/id3v2,Go,permissive,,,ok,https://github.com/n10v/id3v2,MIT,MIT License,mit,Permissive,351,False,False,2016-05-15T18:36:53Z,2025-08-06T11:19:48Z,2023-10-28T15:04:52Z,main,34286c4b196c8cbf785f3402fd6f127fcb696714
ginuerzh,gost,ginuerzh/gost,Go,permissive,,,ok,https://github.com/ginuerzh/gost,MIT,MIT License,mit,Permissive,17056,False,False,2015-03-20T09:45:08Z,2025-08-27T13:19:03Z,2024-12-31T13:08:51Z,master,1d516e35e654c7864a0ce907b021a4799715c832
erpc,erpc,erpc/erpc,Go,permissive,,,ok,https://github.com/erpc/erpc,Apache-2.0,Apache License 2.0,apache-2.0,Permissive,538,False,False,2024-05-06T10:32:04Z,2025-08-27T13:19:05Z,2025-08-27T09:01:14Z,main,82e18fcf0a5843add6761e9cc95749d5b1d559b3
himananiito,livedl,himananiito/livedl,Go,permissive,,,ok,https://github.com/himananiito/livedl,MIT,MIT License,mit,Permissive,211,False,False,2018-05-10T18:45:45Z,2025-06-05T18:01:37Z,2023-03-01T13:31:20Z,master,a8720f1e358e5b0ade6fdeb8aacc00781e6cc504
forgoer,openssl,forgoer/openssl,Go,permissive,,,ok,https://github.com/forgoer/openssl,Apache-2.0,Apache License 2.0,apache-2.0,Permissive,295,False,False,2019-04-27T07:49:20Z,2025-08-14T00:41:49Z,2025-08-06T15:05:35Z,master,c9ef36433b18086a877d0926787ea1bbdd8cfe57
